,roomId,accommodationId,name,checkIn,checkOut,defaultPeople,maxPeople
206,207,28,"도보 전용 특가(주차불가,넷플릭스 시청가능 ...",21.0,12,2,2
207,208,28,스탠다드A(넷플릭스 시청가능 랜덤배정 (욕조...,21.0,12,2,2
208,209,28,디럭스A(넷플릭스 시청가능),21.0,12,2,2
209,210,28,"디럭스 트윈(퀸베드+싱글베드,넷플릭스 시청...",21.0,12,2,2
210,211,28,"트윈게임룸(고사양PC,계정제공X,디럭스 침대1...",21.0,12,2,2
211,212,28,스탠다드B(넷플릭스 시청가능 랜덤배정 (욕조...,21.0,12,2,2
212,213,28,디럭스B(넷플릭스 시청가능),21.0,12,2,2
213,214,28,"스위트A(스타일러, 안마의자, 넷플릭스 시청...",21.0,12,2,2
214,215,28,"스위트 B(스타일러, 안마의자, 트윈베드/퀸베...",21.0,12,2,2
215,216,29,"Standard (넷플릭스,배틀그라운드)",23.0,13,2,2
216,217,29,"Deluxe (넷플릭스,배틀그라운드)",23.0,13,2,2
217,218,29,"Twin (넷플릭스,배틀그라운드)",23.0,13,2,2
218,219,29,"VIP (넷플릭스,배틀그라운드)",23.0,13,2,2
219,220,30,무한대실(슈페리어),21.0,12,2,2
220,221,30,무한대실(디럭스),21.0,12,2,2
221,222,30,야간대실,21.0,12,2,2
222,223,30,슈페리어(도보전용),21.0,12,2,2
223,224,30,슈페리어(One OrdinaryDay),21.0,12,2,2
224,225,30,디럭스(A Refresh Day),21.0,12,2,2
225,226,30,Sitting Room,21.0,12,2,2
226,227,30,Twin room,21.0,12,2,2
227,228,30,Glamorous Room,21.0,12,2,2
228,229,31,디럭스 랜덤,20.0,12,2,2
229,230,31,테라스 랜덤,20.0,12,2,2
230,231,31,Cinema 4월(20시입실),20.0,12,2,2
231,232,31,키친하우스(20시 입실),20.0,12,2,2
232,233,31,Cinema 4월(15시입실),20.0,12,2,2
233,234,31,키친하우스,20.0,12,2,2
234,235,32,Junior Suite-쥬니어스위트,22.0,12,2,2
235,236,32,"Standard-일반실(랜덤배정, 넷플릭스 본인계정)",22.0,12,2,2
236,237,32,"Standard-일반실(도보전용,랜덤배정,넷플릭스...",22.0,12,2,2
237,238,32,"Deluxe-준특실(랜덤배정, 넷플릭스 본인계정)",22.0,12,2,2
238,239,32,"Premium-프리미엄(랜덤배정, 넷플릭스 본인계정)",22.0,12,2,2
239,240,32,Suite B(넷플릭스 본인계정),22.0,12,2,2
240,241,32,Suite A(넷플릭스 본인계정),22.0,12,2,2
241,242,33,스탠다드 (도보전용)(주차불가),21.0,12,2,2
242,243,33,스탠다드A,21.0,12,2,2
243,244,33,스탠다드B,21.0,12,2,2
244,245,33,디럭스 더블,21.0,12,2,2
245,246,34,Deluxe-주차불가,22.0,12,2,2
246,247,34,Premier-주차불가,22.0,12,2,2
247,248,34,Deluxe-주차가능,22.0,12,2,2
248,249,34,Premier Twin-주차불가,22.0,12,2,2
249,250,34,Premier (주차가능),22.0,12,2,2
250,251,34,Ace Twin-주차불가,22.0,12,2,2
251,252,34,Premier-Twin (주차가능),22.0,12,2,2
252,253,34,Ace Twin (주차가능),22.0,12,2,2
253,254,35,일반실(주차불가),20.0,12,2,2
254,255,35,일반실(주차가능),20.0,12,2,2
255,256,35,특실A,20.0,12,2,2
256,257,35,특실B,20.0,12,2,2
257,258,36,Deluxe-도보전용(주차불가),20.0,12,2,2
258,259,36,Deluxe Plus-도보전용(주차불가),20.0,12,2,2
259,260,36,비지니스룸(주차가능),20.0,12,2,2
260,261,36,Deluxe Plus(주차가능),20.0,12,2,2
261,262,36,Deluxe(주차가능),20.0,12,2,2
262,263,37,프리미어A,18.0,12,2,2
263,264,37,디럭스A,18.0,12,2,2
264,265,37,도보전용-디럭스,18.0,12,2,2
265,266,37,디럭스B,18.0,12,2,2
266,267,37,프리미어B,18.0,12,2,2
267,268,37,스위트,18.0,12,2,2
268,269,38,일반(도보 전용),23.0,12,2,2
269,270,38,"야간 대실 (새벽 2시까지 가능,주차불가)",23.0,12,2,2
270,271,38,일반,23.0,12,2,2
271,272,38,준특실,23.0,12,2,2
272,273,38,테라스룸 (야간조명없음),23.0,12,2,2
273,274,38,특실,23.0,12,2,2
274,275,25,"스위트 루프탑(수영장 이용불가,글램핑,트윈,...",21.0,12,2,2
275,276,25,"스위트 루프탑(수영장이용가능,글램핑,트윈,...",21.0,12,2,2
276,277,25,"파티스위트 루프탑(수영장이용가능,글램핑,트...",21.0,12,2,2
277,278,25,"무한대실 디럭스(욕조유무 랜덤배정, 넷플릭...",21.0,12,2,2
278,279,25,"파티스위트 루프탑(수영장 이용불가,글램핑, ...",21.0,12,2,2
